next,productId,year,month,units,avg,count,max,min,prev,price,color,size,shape,agram,bgram,ygram,zgram
50,100,2017,1,337,25,13,132,1,224,0.85,,inflatable,,political,,,globe
23,100,2017,2,50,10,5,24,1,337,0.85,,inflatable,,political,,,globe
189,100,2017,3,23,4,5,6,2,50,0.85,,inflatable,,political,,,globe
24,101,2017,6,48,48,1,48,48,2,0.39,,inflatable,groovy,cactus,,,
60,101,2017,7,24,12,2,12,12,48,0.39,,inflatable,groovy,cactus,,,
60,101,2017,8,60,15,4,24,12,24,0.39,,inflatable,groovy,cactus,,,
6,101,2017,9,60,15,4,24,12,60,0.39,,inflatable,groovy,cactus,,,
91,101,2017,10,6,2,3,3,1,60,0.39,,inflatable,groovy,cactus,,,
29,102,2017,2,30,30,1,30,30,16,0.21,,,,doggy,,,rubber
3,102,2017,3,29,9,3,16,2,30,0.21,,,,doggy,,,rubber
5,102,2017,5,3,1,2,2,1,29,0.21,,,,doggy,,,rubber
35,102,2017,7,5,5,1,5,5,3,0.21,,,,doggy,,,rubber
10,102,2017,8,35,17,2,30,5,5,0.21,,,,doggy,,,rubber
10,102,2017,9,10,2,4,5,1,35,0.21,,,,doggy,,,rubber
49,102,2017,10,10,5,2,5,5,10,0.21,,,,doggy,,,rubber
5,104,2017,2,3,3,1,3,3,4,0.42,red,,spots,bookcover,,,tape
4,104,2017,3,5,2,2,4,1,3,0.42,red,,spots,bookcover,,,tape
4,105,2017,3,4,4,1,4,4,5,0.42,camo,,,army,bookcover,,tape
4,105,2017,9,4,4,1,4,4,4,0.42,camo,,,army,bookcover,,tape
112,106,2017,1,160,32,5,60,20,143,0.85,,mini,,tapes,,,
82,106,2017,3,112,18,6,41,4,160,0.85,,mini,,tapes,,,
107,106,2017,4,82,16,5,21,1,112,0.85,,mini,,tapes,,,
13,106,2017,5,107,21,5,100,1,82,0.85,,mini,,tapes,,,
176,106,2017,6,13,6,2,12,1,107,0.85,,mini,,tapes,,,
85,106,2017,7,176,35,5,120,4,13,0.85,,mini,,tapes,,,
210,106,2017,8,85,28,3,40,20,176,0.85,,mini,,tapes,,,
50,106,2017,9,210,70,3,150,20,85,0.85,,mini,,tapes,,,
62,106,2017,10,50,12,4,20,3,210,0.85,,mini,,tapes,,,
37,107,2017,1,90,22,4,40,10,123,0.42,brown-colouring,,,pencils,,,
83,107,2017,2,37,7,5,10,3,90,0.42,brown-colouring,,,pencils,,,
75,107,2017,3,83,20,4,30,2,37,0.42,brown-colouring,,,pencils,,,
33,107,2017,4,75,37,2,70,5,83,0.42,brown-colouring,,,pencils,,,
