Id,BuyerId,OrderDate,OrderStatusId,PaymentMethodId,Description,Address_City,Address_Country,Address_State,Address_Street,Address_ZipCode
1001,4978,2016-12-01T08:26:00,4,,,Manchester,United Kingdom,Manchester,N/A,22042
1002,4978,2016-12-01T08:28:00,4,,,Manchester,United Kingdom,Manchester,N/A,22042
1003,1517,2016-12-01T08:34:00,4,,,Stoke-on-Trent,United Kingdom,Potteries,N/A,43469
1004,1517,2016-12-01T08:34:00,4,,,Stoke-on-Trent,United Kingdom,Potteries,N/A,43469
1005,1517,2016-12-01T08:35:00,4,,,Stoke-on-Trent,United Kingdom,Potteries,N/A,43469
1006,1182,2016-12-01T08:45:00,4,,,Lille,France,Hauts-de-France,N/A,96929
1007,2022,2016-12-01T09:00:00,4,,,Coventry,United Kingdom,Coventry,N/A,97942
1008,4978,2016-12-01T09:01:00,4,,,Manchester,United Kingdom,Manchester,N/A,22042
1009,4978,2016-12-01T09:02:00,4,,,Manchester,United Kingdom,Manchester,N/A,22042
1010,2986,2016-12-01T09:09:00,4,,,Newcastle,United Kingdom,Tyneside,N/A,17182
1011,4978,2016-12-01T09:32:00,4,,,Manchester,United Kingdom,Manchester,N/A,22042
1012,3135,2016-12-01T09:32:00,4,,,Bristol,United Kingdom,Bristol,N/A,17547
1013,4978,2016-12-01T09:34:00,4,,,Manchester,United Kingdom,Manchester,N/A,22042
1014,2698,2016-12-01T09:37:00,4,,,Southampton,United Kingdom,South Hampshire,N/A,90930
1015,4956,2016-12-01T09:41:00,4,,,Belfast,United Kingdom,Belfast,N/A,12708
1016,3148,2016-12-01T09:41:00,4,,,Bournemouth,United Kingdom,Dorset,N/A,91330
1017,3717,2016-12-01T09:45:00,4,,,Liverpool,United Kingdom,Liverpool,N/A,50137
1018,5142,2016-12-01T09:53:00,4,,,Leeds,United Kingdom,West Yorkshire,N/A,97313
1019,4674,2016-12-01T09:56:00,4,,,Nottingham,United Kingdom,Nottingham,N/A,12313
1020,3671,2016-12-01T09:57:00,4,,,Leeds,United Kingdom,West Yorkshire,N/A,29845
1021,3671,2016-12-01T09:58:00,4,,,Leeds,United Kingdom,West Yorkshire,N/A,29845
1022,3838,2016-12-01T09:59:00,4,,,Glasgow,United Kingdom,Glasgow,N/A,86508
1023,1066,2016-12-01T10:03:00,4,,,Sunshine Coast,Australia,QLD,N/A,79762
1024,4736,2016-12-01T10:19:00,4,,,Cardiff,United Kingdom,Cardiff,N/A,91782
1025,1987,2016-12-01T10:29:00,4,,,London,United Kingdom,London,N/A,94460
1026,2021,2016-12-01T10:37:00,4,,,Coventry,United Kingdom,Coventry,N/A,21173
1027,1779,2016-12-01T10:39:00,4,,,Manchester,United Kingdom,Manchester,N/A,95867
1028,2037,2016-12-01T10:47:00,4,,,London,United Kingdom,London,N/A,27670
1029,4978,2016-12-01T10:51:00,4,,,Manchester,United Kingdom,Manchester,N/A,22042
1030,5036,2016-12-01T10:51:00,4,,,Liverpool,United Kingdom,Liverpool,N/A,45966
1031,1804,2016-12-01T10:52:00,4,,,Edinburgh,United Kingdom,Edinburgh,N/A,92656
1032,4978,2016-12-01T10:52:00,4,,,Manchester,United Kingdom,Manchester,N/A,22042
1033,1804,2016-12-01T10:53:00,4,,,Edinburgh,United Kingdom,Edinburgh,N/A,92656
1034,3557,2016-12-01T11:21:00,4,,,Southampton,United Kingdom,South Hampshire,N/A,49528
1035,3293,2016-12-01T11:22:00,4,,,Middlesbrough,United Kingdom,Teesside,N/A,11234
1036,1338,2016-12-01T11:27:00,4,,,Zaanstad,Netherlands,North Holland,N/A,63217
1037,3815,2016-12-01T11:29:00,4,,,Nottingham,United Kingdom,Nottingham,N/A,16272
1038,2235,2016-12-01T11:32:00,4,,,Middlesbrough,United Kingdom,Teesside,N/A,32496
1039,4978,2016-12-01T11:33:00,4,,,Manchester,United Kingdom,Manchester,N/A,22042
1040,4978,2016-12-01T11:34:00,4,,,Manchester,United Kingdom,Manchester,N/A,22042
1041,2424,2016-12-01T11:41:00,4,,,Southampton,United Kingdom,South Hampshire,N/A,79186
1042,5026,2016-12-01T11:45:00,4,,,Stoke-on-Trent,United Kingdom,Potteries,N/A,81446
1043,5033,2016-12-01T11:49:00,4,,,Newcastle,United Kingdom,Tyneside,N/A,49441
1044,1371,2016-12-01T11:57:00,4,,,Nottingham,United Kingdom,Nottingham,N/A,27303
1045,1667,2016-12-01T11:58:00,4,,,Birmingham,United Kingdom,West Midlands,N/A,76285
1046,4071,2016-12-01T12:03:00,4,,,Manchester,United Kingdom,Manchester,N/A,10573
1047,5151,2016-12-01T12:08:00,4,,,London,United Kingdom,London,N/A,15596
1048,2030,2016-12-01T12:08:00,4,,,Leeds,United Kingdom,West Yorkshire,N/A,73327
1049,1980,2016-12-01T12:12:00,4,,,Newcastle,United Kingdom,Tyneside,N/A,97946
1050,3635,2016-12-01T12:15:00,4,,,Sheffield,United Kingdom,Sheffield,N/A,11112
